,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
253,Lilith,2.6630000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
254,Edburga,2.5860000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
255,Durrell,2.728,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
256,Antwerpia,2.6860000000000004,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
257,Brixia,2.741,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
258,Tokio,2.6519999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
259,Ludibunda,2.7460000000000004,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
260,Johnmills,2.737,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
261,Bower,2.572,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
262,Afra,2.64,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
263,Zwetana,2.569,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
264,Endymion,2.568,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
265,Nicole,2.568,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
266,Vienna,2.635,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
267,Buda,2.472,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
268,Tamara,2.3169999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
269,Nasi,2.7289999999999996,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
270,Victoria,2.334,9.64 billion,MBA,9.64,billion,C_Low Metal Content,9640000000.0
271,Amherstia,2.682,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
272,Tarkovskij,2.474,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
273,Desiderata,2.597,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
274,Westphalia,2.431,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
275,Austria,2.286,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
276,Roxane,2.287,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
277,Hedda,2.2840000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
